
(799.9909806649999, 79999.0980665)
(1599.972941995, 79998.19613299999)
(2399.94588399, 79997.29419949999)
(3199.9098066499996, 79996.39226599998)
(3999.8647099749996, 79995.49033249998)
(4799.8105939649995, 79994.58839899997)
(5599.747458619999, 79993.68646549997)
(6399.675303939998, 79992.78453199996)
(7199.594129924998, 79991.88259849996)
(7999.503936574997, 79990.98066499995)
(8799.404723889997, 79990.07873149995)
(9599.296491869996, 79989.17679799994)
(10399.179240514995, 79988.27486449994)
(11199.052969824996, 79987.37293099993)
(11998.917679799995, 79986.47099749993)
(12798.773370439994, 79985.56906399992)
(13598.620041744993, 79984.66713049992)
(14398.457693714992, 79983.76519699991)
(15198.286326349991, 79982.86326349991)
(15998.10593964999, 79981.9613299999)
(16797.91653361499, 79981.0593964999)
(17597.71810824499, 79980.1574629999)
(18397.51066353999, 79979.25552949989)
(19197.29419949999, 79978.35359599988)
(19997.068716124988, 79977.45166249988)
(20796.834213414986, 79976.54972899987)
(21596.590691369984, 79975.64779549987)
(22396.338149989984, 79974.74586199987)
(23196.076589274984, 79973.84392849986)
(23995.806009224983, 79972.94199499986)
(24795.526409839982, 79972.04006149985)
(25595.23779111998, 79971.13812799985)
(26394.940153064977, 79970.23619449984)
(27194.633495674974, 79969.33426099984)
(27994.317818949974, 79968.43232749983)
(28793.993122889973, 79967.53039399983)
(29593.65940749497, 79966.62846049982)
(30393.31667276497, 79965.72652699982)
(31192.964918699967, 79964.82459349981)
(31992.604145299963, 79963.92265999981)
(32792.23435256496, 79963.0207264998)
(33591.85554049496, 79962.1187929998)
(34391.46770908996, 79961.2168594998)
(35191.07085834996, 79960.31492599979)
(35990.664988274955, 79959.41299249978)
(36790.250098864955, 79958.51105899978)
(37589.82619011995, 79957.60912549977)
(38389.39326203995, 79956.70719199977)
(39188.951314624945, 79955.80525849976)
(39988.50034787494, 79954.90332499976)
(40788.04036178994, 79954.00139149975)
(41587.57135636994, 79953.09945799975)
(42387.09333161494, 79952.19752449974)
(43186.60628752493, 79951.29559099974)
(43986.11022409993, 79950.39365749974)
(44785.605141339925, 79949.49172399973)
(45585.09103924492, 79948.58979049973)
(46384.56791781492, 79947.68785699972)
(47184.03577704992, 79946.78592349972)
(47983.494616949916, 79945.88398999971)
(48782.94443751491, 79944.9820564997)
(49582.38523874491, 79944.0801229997)
(50381.81702063991, 79943.1781894997)
(51181.239783199904, 79942.27625599969)
(51980.6535264249, 79941.37432249969)
(52780.0582503149, 79940.47238899968)
(53579.453954869896, 79939.57045549968)
(54378.84064008989, 79938.66852199967)
(55178.218305974886, 79937.76658849967)
(55977.586952524885, 79936.86465499966)
(56776.94657973988, 79935.96272149966)
(57576.29718761988, 79935.06078799965)
(58375.63877616487, 79934.15885449965)
(59174.97134537487, 79933.25692099964)
(59974.29489524987, 79932.35498749964)
(60773.609425789866, 79931.45305399963)
(61572.914936994865, 79930.55112049963)
(62372.21142886486, 79929.64918699962)
(63171.49890139986, 79928.74725349962)
(63970.77735459985, 79927.84531999961)
(64770.046788464846, 79926.94338649961)
(65569.30720299484, 79926.0414529996)
(66368.55859818983, 79925.1395194996)
(67167.80097404982, 79924.2375859996)
(67967.03433057482, 79923.33565249959)
(68766.25866776482, 79922.43371899959)
(69565.47398561981, 79921.53178549958)
(70364.68028413982, 79920.62985199958)
(71163.87756332482, 79919.72791849957)
(71963.06582317481, 79918.82598499957)
(72762.2450636898, 79917.92405149956)
(73561.4152848698, 79917.02211799956)
(74360.5764867148, 79916.12018449955)
(75159.72866922479, 79915.21825099955)
(75958.87183239979, 79914.31631749954)
(76758.00597623979, 79913.41438399954)
(77557.13110074478, 79912.51245049953)
(78356.24720591477, 79911.61051699953)
(79155.35429174977, 79910.70858349952)
(79954.45235824976, 79909.80664999952)
(80753.54140541475, 79908.90471649951)
(81552.62143324476, 79908.00278299951)
(82351.69244173975, 79907.1008494995)
(83150.75443089975, 79906.1989159995)
(83949.80740072473, 79905.2969824995)
(84748.85135121473, 79904.39504899949)
(85547.88628236973, 79903.49311549948)
(86346.91219418972, 79902.59118199948)
(87145.92908667472, 79901.68924849948)
(87944.93695982471, 79900.78731499947)
(88743.9358136397, 79899.88538149947)
(89542.9256481197, 79898.98344799946)
(90341.90646326469, 79898.08151449946)
(91140.87825907469, 79897.17958099945)
(91939.84103554967, 79896.27764749945)
(92738.79479268967, 79895.37571399944)
(93537.73953049467, 79894.47378049944)
(94336.67524896466, 79893.57184699943)
(95135.60194809966, 79892.66991349943)
(95934.51962789966, 79891.76797999942)
(96733.42828836465, 79890.86604649942)
(97532.32792949464, 79889.96411299941)
(98331.21855128964, 79889.06217949941)
(99130.10015374963, 79888.1602459994)
(99928.97273687462, 79887.2583124994)
(100727.83630066463, 79886.3563789994)
(101526.69084511962, 79885.45444549939)
(102325.53637023961, 79884.55251199938)
(103124.3728760246, 79883.65057849938)
(103923.2003624746, 79882.74864499937)
(104722.0188295896, 79881.84671149937)
(105520.82827736958, 79880.94477799936)
(106319.62870581458, 79880.04284449936)
(107118.42011492458, 79879.14091099935)
(107917.20250469957, 79878.23897749935)
(108715.97587513956, 79877.33704399935)
(109514.74022624455, 79876.43511049934)
(110313.49555801455, 79875.53317699934)
(111112.24187044954, 79874.63124349933)
(111910.97916354953, 79873.72930999933)
(112709.70743731453, 79872.82737649932)
(113508.42669174452, 79871.92544299932)
(114307.1369268395, 79871.02350949931)
(115105.8381425995, 79870.1215759993)
(115904.5303390245, 79869.2196424993)
(116703.21351611448, 79868.3177089993)
(117501.88767386948, 79867.41577549929)
(118300.55281228948, 79866.51384199929)
(119099.20893137447, 79865.61190849928)
(119897.85603112445, 79864.70997499928)
(120696.49411153945, 79863.80804149927)
(121495.12317261944, 79862.90610799927)
(122293.74321436443, 79862.00417449926)
(123092.35423677442, 79861.10224099926)
(123890.95623984942, 79860.20030749925)
(124689.5492235894, 79859.29837399925)
(125488.1331879944, 79858.39644049924)
(126286.7081330644, 79857.49450699924)
(127085.27405879939, 79856.59257349923)
(127883.83096519938, 79855.69063999923)
(128682.37885226437, 79854.78870649922)
(129480.91771999437, 79853.88677299922)
(130279.44756838935, 79852.98483949922)
(131077.96839744935, 79852.08290599921)
(131876.48020717435, 79851.1809724992)
(132674.98299756434, 79850.2790389992)
(133473.47676861932, 79849.3771054992)
(134271.9615203393, 79848.47517199919)
(135070.4372527243, 79847.57323849919)
(135868.9039657743, 79846.67130499918)
(136667.3616594893, 79845.76937149918)
(137465.8103338693, 79844.86743799917)
(138264.2499889143, 79843.96550449917)
(139062.68062462428, 79843.06357099916)
(139861.10224099926, 79842.16163749916)
(140659.51483803926, 79841.25970399915)
(141457.91841574427, 79840.35777049915)
(142256.31297411426, 79839.45583699914)
(143054.69851314925, 79838.55390349914)
(143853.07503284924, 79837.65196999913)
(144651.44253321423, 79836.75003649913)
(145449.8010142442, 79835.84810299912)
(146248.1504759392, 79834.94616949912)
(147046.4909182992, 79834.04423599911)
(147844.8223413242, 79833.14230249911)
(148643.1447450142, 79832.2403689991)
(149441.4581293692, 79831.3384354991)
(150239.76249438917, 79830.4365019991)
(151038.05784007415, 79829.53456849909)
(151836.34416642415, 79828.63263499908)
(152634.62147343915, 79827.73070149908)
(153432.88976111915, 79826.82876799908)
(154231.14902946414, 79825.92683449907)
(155029.39927847413, 79825.02490099907)
(155827.6405081491, 79824.12296749906)
(156625.8727184891, 79823.22103399906)
(157424.0959094941, 79822.31910049905)
(158222.3100811641, 79821.41716699905)
(159020.51523349909, 79820.51523349904)
(159818.71136649908, 79819.61329999904)
(160616.89848016406, 79818.71136649903)
(161415.07657449404, 79817.80943299903)
(162213.24564948902, 79816.90749949902)
(163011.40570514902, 79816.00556599902)
(163809.55674147402, 79815.10363249901)
(164607.69875846402, 79814.20169899901)
(165405.831756119, 79813.299765499)
(166203.955734439, 79812.397831999)
(167002.07069342397, 79811.495898499)
(167800.17663307395, 79810.59396499899)
(168598.27355338895, 79809.69203149898)
