
(7990.980665, 79909.80665)
(15972.941995000001, 79819.6133)
(23945.883990000002, 79729.41995)
(31909.806650000002, 79639.2266)
(39864.709975000005, 79549.03325)
(47810.59396500001, 79458.83989999999)
(55747.458620000005, 79368.64654999999)
(63675.303940000005, 79278.45319999999)
(71594.129925, 79188.25984999999)
(79503.936575, 79098.06649999999)
(87404.72389, 79007.87314999998)
(95296.49187, 78917.67979999998)
(103179.240515, 78827.48644999998)
(111052.969825, 78737.29309999998)
(118917.67979999998, 78647.09974999998)
(126773.37043999998, 78556.90639999998)
(134620.041745, 78466.71304999998)
(142457.693715, 78376.51969999998)
(150286.32635, 78286.32634999997)
(158105.93965, 78196.13299999997)
(165916.533615, 78105.93964999997)
(173718.10824499998, 78015.74629999997)
(181510.66353999998, 77925.55294999997)
(189294.1995, 77835.35959999997)
(197068.71612499998, 77745.16624999997)
(204834.21341499998, 77654.97289999996)
(212590.69137, 77564.77954999996)
(220338.14998999998, 77474.58619999996)
(228076.58927499998, 77384.39284999996)
(235806.009225, 77294.19949999996)
(243526.40983999998, 77204.00614999996)
(251237.79111999998, 77113.81279999996)
(258940.15306499996, 77023.61944999995)
(266633.49567499995, 76933.42609999995)
(274317.8189499999, 76843.23274999995)
(281993.12288999994, 76753.03939999995)
(289659.40749499993, 76662.84604999995)
(297316.6727649999, 76572.65269999995)
(304964.9186999999, 76482.45934999995)
(312604.1452999999, 76392.26599999995)
(320234.3525649999, 76302.07264999994)
(327855.5404949999, 76211.87929999994)
(335467.7090899999, 76121.68594999994)
(343070.8583499999, 76031.49259999994)
(350664.9882749999, 75941.29924999994)
(358250.0988649999, 75851.10589999994)
(365826.19011999987, 75760.91254999994)
(373393.2620399999, 75670.71919999993)
(380951.3146249999, 75580.52584999993)
(388500.34787499986, 75490.33249999993)
(396040.3617899999, 75400.13914999993)
(403571.3563699999, 75309.94579999993)
(411093.33161499986, 75219.75244999993)
(418606.2875249999, 75129.55909999993)
(426110.2240999999, 75039.36574999992)
(433605.14133999986, 74949.17239999992)
(441091.0392449999, 74858.97904999992)
(448567.9178149999, 74768.78569999992)
(456035.77704999986, 74678.59234999992)
(463494.6169499998, 74588.39899999992)
(470944.4375149998, 74498.20564999992)
(478385.2387449998, 74408.01229999991)
(485817.02063999977, 74317.81894999991)
(493239.7831999998, 74227.62559999991)
(500653.52642499976, 74137.43224999991)
(508058.2503149997, 74047.23889999991)
(515453.9548699997, 73957.04554999991)
(522840.6400899997, 73866.8521999999)
(530218.3059749997, 73776.6588499999)
(537586.9525249996, 73686.4654999999)
(544946.5797399996, 73596.2721499999)
(552297.1876199996, 73506.0787999999)
(559638.7761649996, 73415.8854499999)
(566971.3453749996, 73325.6920999999)
(574294.8952499996, 73235.4987499999)
(581609.4257899995, 73145.3053999999)
(588914.9369949995, 73055.1120499999)
(596211.4288649996, 72964.9186999999)
(603498.9013999995, 72874.72534999989)
(610777.3545999995, 72784.53199999989)
(618046.7884649995, 72694.33864999989)
(625307.2029949995, 72604.14529999989)
(632558.5981899995, 72513.95194999989)
(639800.9740499995, 72423.75859999988)
(647034.3305749994, 72333.56524999988)
(654258.6677649994, 72243.37189999988)
(661473.9856199995, 72153.17854999988)
(668680.2841399994, 72062.98519999988)
(675877.5633249994, 71972.79184999988)
(683065.8231749994, 71882.59849999988)
(690245.0636899994, 71792.40514999987)
(697415.2848699994, 71702.21179999987)
(704576.4867149994, 71612.01844999987)
(711728.6692249994, 71521.82509999987)
(718871.8323999994, 71431.63174999987)
(726005.9762399994, 71341.43839999987)
(733131.1007449994, 71251.24504999987)
(740247.2059149994, 71161.05169999987)
(747354.2917499994, 71070.85834999986)
(754452.3582499993, 70980.66499999986)
(761541.4054149993, 70890.47164999986)
(768621.4332449994, 70800.27829999986)
(775692.4417399993, 70710.08494999986)
(782754.4308999993, 70619.89159999986)
(789807.4007249994, 70529.69824999986)
(796851.3512149993, 70439.50489999985)
(803886.2823699993, 70349.31154999985)
(810912.1941899994, 70259.11819999985)
(817929.0866749993, 70168.92484999985)
(824936.9598249993, 70078.73149999985)
(831935.8136399994, 69988.53814999985)
(838925.6481199993, 69898.34479999985)
(845906.4632649993, 69808.15144999984)
(852878.2590749994, 69717.95809999984)
(859841.0355499993, 69627.76474999984)
(866794.7926899993, 69537.57139999984)
(873739.5304949994, 69447.37804999984)
(880675.2489649993, 69357.18469999984)
(887601.9480999993, 69266.99134999984)
(894519.6278999993, 69176.79799999984)
(901428.2883649992, 69086.60464999983)
(908327.9294949992, 68996.41129999983)
(915218.5512899992, 68906.21794999983)
(922100.1537499991, 68816.02459999983)
(928972.7368749991, 68725.83124999983)
(935836.300664999, 68635.63789999983)
(942690.845119999, 68545.44454999983)
(949536.370239999, 68455.25119999982)
(956372.876024999, 68365.05784999982)
(963200.3624749989, 68274.86449999982)
(970018.8295899989, 68184.67114999982)
(976828.2773699989, 68094.47779999982)
(983628.7058149988, 68004.28444999982)
(990420.1149249988, 67914.09109999982)
(997202.5046999988, 67823.89774999981)
(1003975.8751399987, 67733.70439999981)
(1010740.2262449987, 67643.51104999981)
(1017495.5580149987, 67553.31769999981)
(1024241.8704499986, 67463.12434999981)
(1030979.1635499987, 67372.93099999981)
(1037707.4373149986, 67282.7376499998)
(1044426.6917449986, 67192.5442999998)
(1051136.9268399985, 67102.3509499998)
(1057838.1425999985, 67012.1575999998)
(1064530.3390249985, 66921.9642499998)
(1071213.5161149984, 66831.7708999998)
(1077887.6738699984, 66741.5775499998)
(1084552.8122899984, 66651.3841999998)
